author,date,text,rating,source
Дмитрий Иванов,,"ЛИКАРД - отвратительная компания!
У нашей компании печальный опыт работы с ООО ""ЛИКАРД"". Не советую с ними работать!",1,2gis
Юрий,,"Пришёл прямо сейчас к ним за топливными картами, говорят ждите 15 минут, погуляйте где-нибудь, даже дверь не открыли.",1,2gis
oooliberta,,"Если не пользоваться топливной Лукойл картой 6 месяцев они автоматически прекращают договор, причем вы об этом узнаете только когда вам откажут в заправке на АЗС.  На вопрос почему не уведомляют о закрытии договора "" Читайте договор!!""  Что этот договор есть пить просит? Причем личный кабинет работает, оплату принимает и ставит на баланс! Договор не восстанавливается, только заново оформляется с талмутом документов, поездками сюда и выпуском новых карт. Геморой с возвратом средств на закрытом договоре на сладкое. Перешли на Газпромнефть, там договор вечный.",1,2gis
ALF (Alien Life Form),,"Очень хочется услышать голос этой дамы. Причём любой, согласен на невежливое обращение с её стороны! Звоню в течении 30 минут. Никто не берёт трубку.",1,2gis
Nastasja,,"Дама, которая отвечает на телефонные звонки по номеру 236-63-41 учитесь телефонному этикету. Вам в жизни это пригодится. Когда клиент спрашивает как попасть в Ваш офис можно отвечать вежливее и внятнее. Всего доброго!",2,2gis
